id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id3917283,2,2016-06-06 16:39:09,2016-06-07 16:30:50,0,-73.7763671875,40.64524841308594,-73.77635955810547,40.64525985717773,N,85901
id3645383,2,2016-01-01 05:01:32,2016-01-01 05:01:36,0,-73.99313354492188,40.75747299194336,-73.99329376220702,40.75753784179688,N,4
id2840829,2,2016-02-21 01:33:52,2016-02-21 01:36:27,0,-73.94624328613281,40.772903442382805,-73.94676971435547,40.77484130859375,N,155
id3762593,1,2016-01-04 12:24:17,2016-01-04 13:01:48,0,-73.81522369384764,40.70008087158203,-73.95069885253906,40.75522232055664,N,2251
id2154895,1,2016-05-23 23:37:37,2016-05-23 23:37:45,0,-73.86163330078125,40.70502853393555,-73.86163330078125,40.70502853393555,N,8
id0796773,1,2016-02-07 17:23:48,2016-02-07 17:23:57,0,-73.95494079589844,40.6878662109375,-73.95474243164062,40.68786239624024,N,9
id2091096,2,2016-01-01 23:52:46,2016-01-02 00:27:18,0,-73.99365234375,40.75704574584961,-73.91886901855469,40.75779342651367,N,2072
id0414625,2,2016-01-05 18:52:20,2016-01-05 18:52:35,0,-73.98529052734375,40.73833465576172,-73.9853515625,40.73836135864258,N,15
id0271506,2,2016-05-22 00:23:15,2016-05-22 00:23:56,0,-73.95671844482422,40.77714157104492,-73.95676422119139,40.776958465576165,N,41
id3176865,2,2016-05-31 05:10:23,2016-05-31 05:10:38,0,-73.9824676513672,40.72797393798828,-73.9824676513672,40.72800064086913,N,15
id3493269,2,2016-01-14 19:09:41,2016-01-14 19:09:48,0,-73.90470886230467,40.75809860229492,-73.90471649169923,40.758148193359375,N,7
id2247129,2,2016-01-13 11:50:12,2016-01-13 12:16:08,0,-73.96502685546875,40.7752685546875,-73.97344970703125,40.84061813354492,N,1556
id1794493,2,2016-03-20 01:25:42,2016-03-20 01:26:04,0,-73.9950942993164,40.76029586791992,-73.99506378173827,40.760284423828125,N,22
id3280610,2,2016-06-07 10:06:24,2016-06-07 10:06:43,7,-74.17366790771484,40.73727416992188,-74.1736602783203,40.73729705810546,N,19
id2489742,2,2016-06-24 08:09:21,2016-06-24 08:18:41,9,-73.71063232421875,40.671581268310554,-73.71063232421875,40.671581268310554,N,560
id2891366,1,2016-02-18 21:26:15,2016-02-18 21:28:00,0,-73.9835433959961,40.71640396118164,-73.9835433959961,40.71640396118164,N,105
id1253169,1,2016-02-28 01:08:48,2016-02-28 01:09:01,0,-74.03594207763672,40.73648834228516,-74.03594207763672,40.736492156982415,N,13
id0506488,2,2016-05-08 22:39:08,2016-05-08 22:39:23,7,-74.03948211669923,40.715030670166016,-74.03948211669923,40.71501922607422,N,15
id2571672,1,2016-03-06 05:24:55,2016-03-06 05:25:00,0,-73.97969818115233,40.76119613647461,-73.97969818115233,40.76119613647461,Y,5
id1822284,1,2016-04-10 20:20:43,2016-04-10 20:20:47,0,-73.99102020263672,40.73379135131836,-73.9910659790039,40.733501434326165,N,4
id0663459,2,2016-06-11 01:24:47,2016-06-11 01:25:36,0,-73.99650573730467,40.64463806152344,-73.99652099609375,40.644649505615234,N,49
id1039576,1,2016-05-13 12:08:39,2016-05-13 12:08:45,0,-73.8019790649414,40.664188385009766,-73.80188751220702,40.66535949707031,N,6
id3347660,2,2016-05-29 01:26:30,2016-05-29 01:26:49,0,-73.93273162841797,40.85643768310546,-73.9327621459961,40.85643768310546,N,19
id0878599,1,2016-01-25 08:46:58,2016-01-25 09:41:01,0,-73.9280776977539,40.73641204833984,-73.98551940917967,40.75897216796875,N,3243
id1610720,2,2016-03-13 14:08:20,2016-03-13 14:08:28,0,-73.92208099365233,40.63603973388672,-73.92208099365233,40.63603973388672,N,8
id1593144,1,2016-01-08 21:55:27,2016-01-08 22:01:52,0,-73.98095703125,40.742141723632805,-73.98612213134764,40.729488372802734,N,385
id1857858,2,2016-01-09 01:53:24,2016-01-09 01:53:26,0,-73.95612335205078,40.668155670166016,-73.95608520507811,40.66810989379882,N,2
id3066152,1,2016-02-01 00:27:13,2016-02-01 00:27:58,0,-74.01448822021484,40.708229064941406,-74.01448822021484,40.708229064941406,N,45
id3364866,1,2016-02-13 14:04:20,2016-02-13 14:21:29,0,-73.990478515625,40.74200439453125,-73.98924255371094,40.76367950439453,N,1029
id3494250,1,2016-04-02 02:32:10,2016-04-02 02:50:51,0,-74.00508880615233,40.72903823852539,-74.03248596191406,40.61957931518555,N,1121
id0988237,2,2016-04-23 19:46:08,2016-04-23 19:46:33,7,-73.63114929199219,40.768550872802734,-73.63114929199219,40.768550872802734,N,25
id1488553,2,2016-01-01 01:15:20,2016-01-01 01:17:04,8,-73.9926528930664,40.768718719482415,-74.04137420654298,40.72995376586913,N,104
id2029944,1,2016-03-11 09:38:54,2016-03-11 09:38:57,0,-73.79039764404298,40.65545654296875,-73.79039764404298,40.65545654296875,N,3
id3533680,1,2016-01-10 04:17:21,2016-01-10 04:17:24,0,-73.99319458007811,40.59870147705078,-73.99319458007811,40.59870147705078,N,3
id3563937,1,2016-02-13 16:52:38,2016-02-13 16:57:48,0,-73.96209716796875,40.776145935058594,-73.95816040039062,40.76701354980469,N,310
id0959777,2,2016-03-01 19:11:26,2016-03-01 19:11:30,0,-74.00377655029298,40.73818588256836,-74.0038070678711,40.73817443847656,N,4
id1656232,1,2016-04-21 06:04:56,2016-04-21 06:05:18,0,-73.9781494140625,40.75018310546875,-73.97810363769531,40.7504768371582,N,22
id1880173,1,2016-02-17 21:17:45,2016-02-17 21:27:46,0,-73.97692108154298,40.75575256347656,-73.9941864013672,40.74602508544922,N,601
id1325601,2,2016-05-05 02:00:31,2016-05-05 02:00:45,0,-73.99579620361328,40.720516204833984,-73.99566650390625,40.720550537109375,N,14
id3251852,1,2016-02-01 01:26:36,2016-02-01 01:27:03,0,-73.98867797851561,40.72134399414063,-73.9886703491211,40.72134399414063,N,27
id2613392,2,2016-03-31 22:25:35,2016-03-31 22:25:42,0,-74.01030731201173,40.71869659423828,-74.01033020019531,40.71865081787109,N,7
id1376024,1,2016-04-01 16:10:32,2016-04-01 16:11:01,0,-73.95197296142578,40.73347854614258,-73.95199584960938,40.73347091674805,N,29
id2063256,1,2016-03-25 17:45:27,2016-03-25 17:46:55,0,-73.99480438232422,40.72066116333008,-73.99512481689453,40.7207145690918,N,88
id1992999,2,2016-01-18 23:15:34,2016-01-18 23:15:37,0,-73.9870834350586,40.75788879394531,-73.98822021484375,40.759033203125,N,3
id1846091,2,2016-01-16 00:50:18,2016-01-16 00:51:36,0,-73.9191665649414,40.686878204345696,-73.91915130615233,40.68687438964844,N,78
id2957383,1,2016-05-20 03:22:01,2016-05-20 03:23:09,0,-74.00534057617188,40.87192153930664,-74.00609588623048,40.872318267822266,Y,68
id2535067,1,2016-06-13 05:59:07,2016-06-13 05:59:16,0,-73.94717407226561,40.82615280151367,-73.94721984863281,40.82608413696289,Y,9
id0593652,2,2016-06-08 19:34:25,2016-06-08 19:34:55,0,-73.96420288085938,40.77327346801758,-73.96421813964844,40.7731819152832,N,30
id1688347,2,2016-05-19 19:55:58,2016-05-19 19:56:23,0,-73.9721450805664,40.747833251953125,-73.97212982177734,40.74798202514648,N,25
id1220914,2,2016-01-17 20:51:55,2016-01-17 20:52:43,0,-73.95999908447266,40.76686096191406,-73.9601058959961,40.76691055297852,N,48
id0662963,2,2016-02-13 04:41:13,2016-02-13 04:41:22,0,-73.9456329345703,40.803672790527344,-73.94562530517578,40.80366134643555,N,9
id1205792,1,2016-03-11 12:33:17,2016-03-11 13:09:48,0,-73.98206329345702,40.763797760009766,-74.18807220458984,40.694042205810554,N,2191
id1038365,1,2016-04-02 22:03:27,2016-04-02 22:03:36,0,-73.95443725585938,40.76573944091797,-73.9544448852539,40.7657585144043,N,9
id0483580,2,2016-01-16 20:37:35,2016-01-16 20:37:38,0,-73.96896362304686,40.80174255371094,-73.96890258789062,40.80185317993164,N,3
id1392994,1,2016-04-07 23:37:19,2016-04-07 23:37:21,0,-74.04296875,40.719539642333984,-74.04296112060547,40.71953582763672,N,2
id3267095,2,2016-02-13 01:33:02,2016-02-13 01:33:06,0,-73.97911834716798,40.76018142700195,-73.97911071777342,40.76015853881836,N,4
id1119951,2,2016-03-24 21:50:50,2016-03-24 21:50:57,0,-73.95878601074217,40.78035354614258,-73.958740234375,40.78033828735352,N,7
id0948644,2,2016-02-22 00:40:25,2016-02-22 00:40:26,0,-73.98759460449217,40.71999740600586,-73.98759460449217,40.72000503540039,N,1
id1699275,1,2016-04-04 19:44:41,2016-04-04 19:50:16,0,-73.98197937011719,40.75228118896485,-73.99267578125,40.73727798461913,N,335
id3368191,1,2016-05-08 23:38:09,2016-05-08 23:38:21,0,-73.9349365234375,40.740840911865234,-73.93492889404298,40.74083709716797,N,12
id3378693,1,2016-05-15 15:31:07,2016-05-15 15:31:13,0,-73.78317260742188,40.643848419189446,-73.78317260742188,40.643848419189446,N,6
id2684721,2,2016-04-01 14:42:10,2016-04-01 14:42:58,0,-73.98131561279298,40.74663543701172,-73.98165130615233,40.74681091308594,N,48
id3485118,1,2016-05-11 19:15:57,2016-05-11 19:32:18,0,-73.9875717163086,40.75456619262695,-73.97203063964845,40.76283645629882,N,981
id0355830,1,2016-03-05 05:33:52,2016-03-05 05:34:27,0,-73.99179077148438,40.73119735717773,-73.993408203125,40.72932815551758,N,35
id1175754,2,2016-05-14 00:25:33,2016-05-14 00:25:37,0,-73.90460968017578,40.75348281860352,-73.90460205078125,40.753456115722656,N,4
